Entidad,Sector,2018/01,2018/02,2018/03,2018/04,2018/05,2018/06,2018/07,2018/08,2018/09,2018/10,2018/11,2018/12,2019/01
Morelos,Industrias manufactureras ,108.0931535,96.94894782,100.2346472,92.48568024,98.83981095,97.73193218,91.51305033,106.6676913,101.7612946,105.5519099,103.6176476,98.0213367,101.2711897
Nayarit,Actividades secundarias ,93.17342184,106.031604,96.66100601,95.54789129,120.4550027,113.1171984,114.8035821,110.5524972,115.4575665,121.1286229,87.16299611,92.09582672,90.26367433
Nayarit,Minería ,90.44954529,101.0199704,99.76645038,96.02674049,116.4571366,94.89026752,100.7490385,105.1887385,100.2937692,87.4972719,74.45303287,87.15547497,74.90731701
Nayarit,"Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final ",95.46104788,90.73317489,88.10591272,107.573269,259.1914644,331.4057985,299.5412766,291.2737718,359.5639307,498.3399262,212.9307173,125.5728363,103.5104805
Nayarit,Construcción ,81.52311366,105.4957401,88.06345533,85.91711602,102.4232262,89.11228434,95.69092746,89.18954316,91.89298352,86.49481081,68.40350493,87.37280918,79.13975079
Nayarit,Industrias manufactureras ,118.2401449,112.768357,117.1023475,112.6982183,119.2737727,104.3529432,104.4982801,104.4551869,97.4682312,91.643733,93.22795183,93.45564142,113.6297767
Nuevo León,Actividades secundarias ,106.6075656,106.2306103,108.4522597,109.6138747,113.237519,112.1000959,115.9864933,122.4539073,115.2999619,121.0763313,117.6144176,108.4965334,112.5364944
Nuevo León,Minería ,88.18216834,85.97227348,90.11847556,89.35775569,94.04158166,86.50942527,93.25637612,93.82627531,91.54539635,92.1044142,91.25546458,92.27736053,92.22146575
Nuevo León,"Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final ",100.4307684,95.70177265,89.79455833,99.51461101,96.17520035,105.9614073,110.3277478,109.0066259,113.27119,111.3923635,107.9976642,88.4251187,108.0389895
Nuevo León,Construcción ,111.0691936,114.549194,106.1205577,104.6033583,106.6040619,106.2811888,120.3720133,111.2011588,110.4708369,115.2989114,110.4835034,113.5802008,116.4270902
Nuevo León,Industrias manufactureras ,105.9698065,104.3486925,111.4398331,113.2527139,117.9517985,116.0592752,115.539363,129.280017,118.501179,125.3969225,122.3774276,108.3937159,112.112961
Oaxaca,Actividades secundarias ,103.6955566,86.67142108,91.53456487,95.14397896,96.44269175,92.28380719,89.89203719,86.18216875,77.46571814,85.05283205,95.78540312,94.88909308,90.40424719
Oaxaca,Minería ,182.8263064,133.2501276,145.9195531,170.410607,231.80221,210.7698777,136.5249436,200.4400935,207.1328764,157.547753,167.9914027,132.093627,191.703807
Oaxaca,"Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final ",97.8895372,108.1266048,116.9536696,127.5090937,121.3618182,99.94159443,115.1849822,101.1058748,101.8477204,116.752233,138.9070707,145.7013451,128.4658191
Oaxaca,Construcción ,108.2461846,86.04094633,81.49224185,77.66429359,77.50805788,79.1460046,80.29435346,72.99452403,64.48452291,77.27682693,89.88223051,88.37533885,79.4202748
Oaxaca,Industrias manufactureras ,93.65438182,81.53990238,96.03728683,105.7670136,105.3635915,97.89038642,94.45305361,91.27632085,80.1106033,84.96249058,92.23160501,93.57755784,91.15578978
Puebla,Actividades secundarias ,109.4781698,114.7935337,121.8374342,117.8183342,129.2609022,121.5863439,126.3248356,122.3299222,110.0902304,125.8724147,117.5252356,110.708832,120.4554375
Puebla,Minería ,55.01055694,48.09399182,51.76743879,51.02133772,53.56132891,49.76956224,49.01723401,45.27429109,43.77788097,44.22508405,42.45506733,46.4485848,45.04222257
